,PID_79,HHID_79,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_HS,AFQT,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1978,real_earnings_1979,real_earnings_1980,real_earnings_1981,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1978,weeks_worked_1979,weeks_worked_1980,weeks_worked_1981,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79,college,earnings_in_2000
2644,2645,2643,9,62,1.0,1.0,0.0,0.0,0,1,0,0.0,8.6420002,11.0,323.0,13.0,13.0,0.0,0.0,1672.2086,2102.4683,3704.835,2158.9702,0.0,6567.9517,13259.651000000002,2026.5427,1790.6058,13436.548999999999,17879.486,15826.646,23357.183999999997,20812.98,29374.615,27162.686,27185.459,6385.4404,47118.945,36937.773,14221.044,30704.25,30498.52,81312.219,43623.027,0.0,8.0,16.0,16.0,0.0,37.0,50.0,33.0,37.0,52.0,52.0,50.0,47.0,49.0,52.0,52.0,52.0,16.0,49.0,34.0,17.0,51.0,43.0,49.0,52.0,0.0,0.0,1.0,0.0,0,26165.8006
2653,2654,2653,1,61,1.0,1.0,0.0,1.0,0,1,0,1.0,17.893,12.0,370.0,12.0,12.0,0.0,6.0,2006.6503,1802.1157,2540.4583,14393.136,15817.533000000001,6567.9517,4197.4204,16212.341999999999,15916.496000000001,28792.605,36864.918,21102.193,20020.443,24014.979,24867.397999999997,25653.646,30047.086,28530.691000000003,45810.085999999996,8003.1846,10665.782,22330.362999999998,21033.461,20328.055,0.0,9.0,12.0,10.0,52.0,52.0,32.0,52.0,48.0,41.0,22.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,23.0,52.0,52.0,52.0,45.0,0.0,0.0,0.0,1.0,0.0,0,23252.435899999997
2679,2680,2680,1,61,1.0,0.0,1.0,1.0,0,0,0,1.0,81.414001,5.0,554.0,17.0,16.0,13.0,12.0,240.79802999999998,4505.2891,3969.4661,1427.3192,3954.3833,5549.9194,15740.327,35059.191,26859.088,39349.895,37786.543,40445.871,46714.367,48029.957,48180.585999999996,45271.140999999996,44355.223,44833.945,143974.55,52944.145,47996.023,55825.91,45747.777,50311.937999999995,54286.434,0.0,20.0,37.0,7.0,15.0,29.0,52.0,52.0,39.0,52.0,40.0,49.0,45.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,1,72437.16575
2704,2705,2705,4,63,1.0,1.0,0.0,1.0,0,1,0,0.0,1.9299998999999999,12.0,373.0,9.0,9.0,5.0,3.0,3344.4172,0.0,0.0,0.0,2553.4019,4039.2903,14690.972,3039.8142,397.91241,7678.0283,14377.318000000001,21102.193,10010.222,19211.982,20204.762,9054.2285,8584.8818,16303.252,0.0,7387.5552,15406.131000000001,15631.255,17878.441000000003,24393.666,32959.621,25.0,0.0,0.0,0.0,12.0,39.0,52.0,39.0,7.0,37.0,46.0,52.0,45.0,21.0,34.0,26.0,52.0,36.0,0.0,52.0,52.0,22.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,0,9774.234550000001
2713,2714,2714,1,61,1.0,1.0,0.0,1.0,1,0,0,1.0,90.518997,5.0,647.0,16.0,16.0,14.0,12.0,6688.8345,6007.0522,6615.7769,0.0,9038.5908,7662.6104,0.0,28371.597999999998,25864.307,33591.375,35943.297,43611.199,46714.367,43226.960999999996,46626.371,40744.027,52224.699,61137.195,58898.68,80031.844,59254.348,50243.316,42066.922,30492.082000000002,38776.023,52.0,34.0,17.0,19.0,18.0,22.0,0.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,1,64830.516749999995
2723,2724,2724,1,63,1.0,1.0,0.0,1.0,1,0,0,0.0,79.723,5.0,517.0,16.0,16.0,16.0,12.0,1337.7668,2703.1736,3969.4661,4797.7119,7908.7666,14230.563,5246.7759,16212.341999999999,45759.926,67182.75,82946.07,66823.609,66734.813,65640.938,73047.984,92051.32,100156.95,97819.516,104708.77,290577.16,315153.72,312419.66,323729.16,317446.97,333309.0,0.0,13.0,32.0,45.0,22.0,21.0,49.0,44.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,1,202064.7915
2736,2737,2736,1,61,1.0,1.0,0.0,1.0,0,0,0,1.0,76.513,7.0,542.0,13.0,13.0,10.0,11.0,836.1043099999999,1051.2341,0.0,0.0,0.0,0.0,0.0,0.0,5968.686,17275.563000000002,33178.426,56272.515999999996,41709.258,44827.957,46626.371,48289.219000000005,50078.477,74723.242,58898.68,73875.547,61624.523,71457.164,50480.309,101640.27,53317.030999999995,17.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,46.0,37.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,0,67280.49799999999
2794,2795,2795,7,61,1.0,0.0,1.0,1.0,0,0,1,0.0,4.0019998999999995,8.0,364.0,12.0,12.0,3.0,4.0,1923.0399,0.0,2199.0842,0.0,1129.8239,4726.7358,419.74207,6079.6284,33822.555,1919.5071,2211.8953,0.0,1334.6963,0.0,13987.911,9054.2285,1716.9763,4075.813,23559.472999999998,14775.11,30812.262000000002,0.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,22.0,22.0,27.0,12.0,0.0,13.0,5.0,9.0,21.0,0.0,0.0,13.0,9.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,18305.6645
2848,2849,2848,5,61,1.0,1.0,0.0,1.0,0,0,0,1.0,91.68,9.0,436.0,16.0,16.0,19.0,19.0,167.22086000000002,3003.5261,529.26215,4797.7119,1016.8414,146.68425,3712.6184,46610.484000000004,51728.613,56625.457,62670.363,59789.547,70071.555,70443.938,77710.617,78469.977,85848.82,4075.813,56280.960999999996,24625.183999999997,7110.522,0.0,0.0,5082.0137,14056.309,6.0,18.0,47.0,44.0,33.0,12.0,4.0,52.0,52.0,52.0,52.0,49.0,52.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,52.0,1.0,40.0,52.0,1.0,0.0,0.0,0.0,1,23023.12
2983,2984,2982,1,61,1.0,1.0,0.0,1.0,1,0,0,1.0,96.417,7.0,560.0,16.0,16.0,18.0,13.0,1203.9902,2402.821,7303.8174,13433.593,17625.252,32182.963,54566.469000000005,70625.016,69634.672,75494.211,77416.328,87925.805,108444.07,128079.88,113457.51,123741.13,200916.28,133143.23,137430.25,290577.16,315153.72,312419.66,323729.16,317446.97,164798.09,9.0,39.0,44.0,32.0,30.0,30.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,1,219076.08999999997
3050,3051,3050,10,62,1.0,1.0,0.0,1.0,0,0,0,0.0,42.040001000000004,11.0,596.0,12.0,12.0,12.0,12.0,1381.2443,0.0,0.0,1285.7867,10394.379,13135.903,9444.1963,19860.119,27654.912,28024.803,28385.987999999998,26377.742000000002,20178.939,20572.832,22691.502,21271.4,27185.459,19020.461,17015.174,18468.887,17183.762,18980.808999999997,22085.135,22360.861,27143.217,0.0,0.0,0.0,6.0,28.0,28.0,24.0,43.0,52.0,48.0,52.0,52.0,38.0,52.0,52.0,26.0,29.0,14.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,0,17922.071
3057,3058,3058,1,61,1.0,1.0,0.0,1.0,0,0,0,1.0,49.827,14.0,362.0,12.0,12.0,16.0,11.0,12039.901000000002,19522.92,18524.174,23988.558999999997,22596.477000000003,39407.711,12592.261999999999,24318.514,29843.43,11517.042,15667.591,21102.193,18352.074,19211.982,21758.972999999998,9808.7471,2861.6272,40078.828,51045.523,56637.922,65179.780999999995,85971.898,83082.172,81312.219,95970.656,22.0,52.0,52.0,52.0,40.0,51.0,32.0,44.0,52.0,48.0,29.0,52.0,52.0,48.0,48.0,52.0,46.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,1.0,0.0,0.0,0.0,0,53235.513499999994
3254,3255,3255,3,61,1.0,1.0,0.0,1.0,1,0,0,1.0,91.682999,10.0,647.0,13.0,13.0,20.0,12.0,5016.626,1802.1157,3440.2039,19190.848,18077.182,15325.221000000001,23921.1,30398.141,39791.242,47987.676,40551.41,70340.648,75076.664,56034.949,62168.496,42253.066,57232.547,40758.129,0.0,0.0,9480.6953,0.0,0.0,20328.055,19388.012,13.0,10.0,30.0,52.0,38.0,52.0,37.0,43.0,37.0,43.0,41.0,48.0,39.0,36.0,44.0,36.0,36.0,50.0,52.0,52.0,52.0,41.0,0.0,52.0,39.0,1.0,0.0,0.0,0.0,0,12559.706075
3256,3257,3256,9,62,1.0,1.0,0.0,1.0,1,0,0,1.0,98.634003,8.0,571.0,18.0,17.0,17.0,17.0,250.83128,0.0,661.5777,479.77117999999996,1265.4027,3502.9077,6333.9077,1519.9071,3183.2993,1439.6302,5754.6138,7913.3228,13547.167,32019.971,18650.549,21126.533,31477.9,44352.996,45810.085999999996,70797.406,78215.742,83738.867,92547.234,101640.27,130869.08,0.0,0.0,4.0,4.0,4.0,11.0,4.0,20.0,3.0,21.0,41.0,52.0,42.0,52.0,36.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,1,59794.0575
3310,3311,3311,5,61,1.0,1.0,0.0,1.0,1,0,1,0.0,18.024,8.0,528.0,11.0,11.0,11.0,12.0,401.33005,27031.736,44987.280999999995,40780.551,49113.441,43013.515999999996,29381.943,0.0,21885.182,26873.097999999998,27648.689,17585.162,26693.926,27216.975,27975.822,15090.381000000001,34339.527,61137.195,65442.977,0.0,0.0,27912.955,36808.559,32524.889,25204.416,0.0,37.0,52.0,52.0,52.0,52.0,30.0,3.0,22.0,39.0,52.0,37.0,49.0,37.0,52.0,42.0,21.0,52.0,52.0,6.0,0.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,0,31645.042999999998
3352,3353,3353,1,61,1.0,1.0,0.0,1.0,1,0,0,1.0,16.881001,12.0,547.0,12.0,12.0,14.0,13.0,5016.626,13515.868,21170.486,16791.99,6778.9429,14230.563,15320.585,20265.428,27853.869,34551.125,40551.41,29015.516,38372.516,28817.972999999998,30928.826,28671.722999999998,47216.852,44833.945,56280.960999999996,48019.109000000004,46218.390999999996,49126.801,49428.637,46754.527,47500.629,52.0,43.0,42.0,49.0,38.0,44.0,50.0,49.0,30.0,38.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,0,48838.1015
3355,3356,3356,2,61,0.0,0.0,0.0,1.0,1,0,0,0.0,43.776001,9.0,269.0,14.0,13.0,12.0,12.0,4013.3005,21024.683999999997,0.0,0.0,13557.886,0.0,8394.8408,9119.4424,5968.686,34551.125,30413.558999999997,17585.162,0.0,0.0,10879.486,24144.609,15738.95,21737.67,14397.455,5171.2886,28442.088,2233.0364,0.0,0.0,0.0,31.0,7.0,0.0,0.0,28.0,2.0,15.0,48.0,14.0,52.0,52.0,35.0,7.0,0.0,13.0,14.0,52.0,36.0,41.0,38.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,17437.1254
3474,3475,3475,3,61,1.0,1.0,0.0,1.0,0,0,0,0.0,18.262999999999998,9.0,412.0,12.0,12.0,12.0,14.0,6688.8345,4505.2891,15348.601999999999,5997.1396,13557.886,18828.129,3357.9365,0.0,23874.744,11517.042,9216.2295,6154.8066,10010.222,8004.9927,7460.2197,1810.8457,18600.578,19020.461,26177.191000000003,25856.443,25597.879,29029.472999999998,12620.077,13172.58,24235.016,22.0,22.0,49.0,27.0,39.0,45.0,24.0,16.0,44.0,52.0,45.0,52.0,52.0,45.0,52.0,45.0,52.0,52.0,52.0,52.0,52.0,52.0,43.0,52.0,52.0,0.0,1.0,0.0,0.0,0,24162.9935
3505,3506,3505,5,61,1.0,1.0,0.0,1.0,0,0,0,1.0,79.063004,6.0,518.0,16.0,16.0,12.0,14.0,2508.313,9010.5781,10585.243,8395.9951,4519.2954,7662.6104,23085.813,46610.484000000004,29843.43,0.0,33178.426,35170.324,30030.666,16009.985,5439.7432,0.0,1144.6509,3804.0923,11779.736,9850.0732,11850.868999999999,20097.328,16826.77,0.0,0.0,50.0,48.0,52.0,36.0,28.0,43.0,41.0,52.0,46.0,52.0,52.0,52.0,48.0,35.0,52.0,25.0,16.0,52.0,43.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,1,9321.192625
3556,3557,3556,1,61,1.0,1.0,0.0,1.0,0,0,0,0.0,34.814999,10.0,381.0,12.0,12.0,8.0,12.0,1672.2086,750.88153,7938.9321,16120.312,16269.463,44683.965,44072.918,46610.484000000004,53718.176,50348.668,28102.129,35170.324,45212.835999999996,39804.027,41963.734000000004,46780.18,45786.035,40758.129,41883.504,36937.773,53328.914000000004,40194.656,58893.691,58951.359000000004,48470.030999999995,12.0,44.0,35.0,52.0,49.0,49.0,52.0,52.0,52.0,52.0,47.0,43.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,0,43227.08
3725,3726,3726,2,61,1.0,1.0,0.0,1.0,0,0,0,0.0,74.917,9.0,413.0,10.0,10.0,12.0,11.0,9989.7744,3781.4395,11987.787,14393.136,18990.078,15743.381000000001,11123.165,8077.7993,33822.555,32631.619,35021.672,31653.291,31699.035,35221.969,34192.672,33198.836,31477.9,40758.129,45810.085999999996,2462.5183,31997.347999999998,26796.436,27869.336,26731.392999999996,23750.314,13.0,10.0,29.0,22.0,36.0,25.0,28.0,49.0,52.0,52.0,52.0,52.0,43.0,52.0,52.0,52.0,42.0,52.0,52.0,20.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,0,30257.020324999998
3774,3775,3774,1,61,1.0,1.0,0.0,1.0,0,0,0,1.0,71.105003,4.0,506.0,13.0,13.0,8.0,12.0,8361.043,11527.533000000001,12437.66,9595.4238,17625.252,23379.718999999997,20987.104,28371.597999999998,29843.43,31287.965,35390.324,29894.772999999997,30030.666,24014.979,29374.615,29878.952999999998,30047.086,38040.922,45155.652,57869.18,58092.960999999996,59175.465,57842.02,56918.555,59133.437999999995,45.0,52.0,47.0,29.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,0,49789.67874999999
3859,3860,3860,1,61,1.0,1.0,0.0,1.0,1,0,0,0.0,97.807999,4.0,435.0,18.0,17.0,13.0,12.0,5685.5093,7208.4629,9262.0869,5997.1396,3389.4714,4816.498,12592.261999999999,37491.039,27853.869,38390.141,46081.148,43962.902,44211.812999999995,48029.957,43517.945,42253.066,45786.035,48909.758,51045.523,59100.441,61624.523,61408.5,59945.367,71148.195,70766.242,22.0,19.0,22.0,48.0,35.0,47.0,47.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,1,55170.06125
4055,4056,4056,2,61,1.0,1.0,0.0,1.0,1,0,0,1.0,68.435997,8.0,602.0,16.0,16.0,14.0,12.0,33.444171999999995,9010.5781,7938.9321,4797.7119,6778.9429,6567.9517,29381.943,34451.227,47749.488,51826.691,58983.871,49238.453,41709.258,45628.457,51289.008,36216.914,55801.73,0.0,58898.68,55406.664000000004,55699.085999999996,55825.91,36808.559,60984.164000000004,58164.035,0.0,38.0,43.0,32.0,19.0,19.0,43.0,51.0,52.0,52.0,52.0,45.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,1,42501.1075
4123,4124,4124,3,61,1.0,1.0,0.0,1.0,0,0,0,1.0,64.005997,6.0,647.0,17.0,16.0,12.0,12.0,3678.8589,6007.0522,7272.0615,9355.5381,5649.1191,13135.903,18888.393,36477.77,35812.117,36470.633,38708.164,38687.355,40875.074,41625.961,43517.945,43762.105,48647.664000000004,52306.27,52354.383,52944.145,61624.523,68107.609,82030.5,68098.984,67858.039,31.0,39.0,30.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,1,54807.33025
4204,4205,4204,1,61,1.0,1.0,0.0,1.0,1,0,1,1.0,4.197,8.0,403.0,12.0,12.0,13.0,12.0,0.0,7208.4629,1058.5243,19190.848,8812.626,19703.855,20812.91,11348.64,3979.1240000000003,34551.125,22118.951,29894.772999999997,22523.0,8004.9927,20204.762,0.0,14308.136999999999,14944.648000000001,39265.785,27087.701,106657.83,35728.582,21033.461,12196.833,0.0,0.0,51.0,52.0,52.0,26.0,46.0,52.0,34.0,42.0,47.0,52.0,52.0,52.0,47.0,42.0,25.0,52.0,52.0,52.0,52.0,52.0,35.0,52.0,52.0,31.0,0.0,0.0,1.0,0.0,0,46988.991
4364,4365,4365,1,61,1.0,0.0,1.0,1.0,1,0,0,1.0,84.22200000000001,4.0,349.0,12.0,12.0,7.0,8.0,5016.626,18321.51,7938.9321,9595.4238,18712.143,39407.711,23379.632999999998,24318.514,35812.117,23034.084,23317.063,31653.291,20020.443,19211.982,20204.762,18108.457,31477.9,43475.34,40574.645,24625.183999999997,17776.305,0.0,42066.922,50820.137,58164.035,22.0,51.0,52.0,42.0,44.0,51.0,50.0,52.0,37.0,52.0,52.0,52.0,43.0,43.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,1.0,0,31612.868499999997
4378,4379,4379,5,61,1.0,1.0,0.0,1.0,0,0,0,0.0,84.653999,4.0,563.0,13.0,13.0,16.0,8.0,8361.043,4505.2891,0.0,0.0,0.0,2627.1807,0.0,3039.8142,1790.6058,0.0,7608.9194,0.0,16203.213,14408.986,1554.2124,13581.343,22177.611,36682.316,57589.82,54175.402,30812.262000000002,42427.691,35756.883,62000.57,9694.0059,46.0,31.0,0.0,0.0,0.0,20.0,0.0,26.0,21.0,0.0,33.0,0.0,50.0,46.0,9.0,52.0,51.0,52.0,52.0,21.0,40.0,52.0,52.0,48.0,6.0,0.0,0.0,0.0,1.0,0,44814.95
4458,4459,4459,1,61,1.0,1.0,0.0,1.0,0,0,0,0.0,38.478001,6.0,473.0,12.0,12.0,12.0,16.0,1003.3251,3604.2314,12135.98,2158.9702,24011.016,27760.542999999998,20831.799,17225.613,6167.6426,16795.688000000002,45122.66,2286.071,20020.443,30739.172000000002,10102.381,8148.8057,8584.8818,21074.67,11779.736,23393.924,31878.84,10048.664,15775.097,22360.861,16479.811,42.0,52.0,45.0,52.0,52.0,52.0,49.0,52.0,32.0,52.0,52.0,52.0,52.0,52.0,41.0,28.0,21.0,52.0,48.0,52.0,52.0,33.0,52.0,52.0,52.0,0.0,0.0,0.0,1.0,0,22031.7925
4479,4480,4480,1,61,1.0,1.0,0.0,1.0,1,0,1,1.0,87.942001,6.0,647.0,16.0,16.0,16.0,12.0,6899.5327,9461.1074,10579.95,15592.563,22596.477000000003,66774.18,69257.438,70929.0,69634.672,80619.297,77416.328,86167.289,79914.938,80049.93,97915.383,102614.59,105880.21,122274.39,150518.84,290577.16,315153.72,312419.66,323729.16,317446.97,333309.0,17.0,35.0,15.0,11.0,17.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,1.0,1,219631.02749999997
4530,4531,4531,1,61,1.0,1.0,0.0,1.0,1,0,0,1.0,66.623001,5.0,583.0,16.0,16.0,18.0,15.0,3678.8589,2402.821,4234.0972,239.88558999999998,1581.7534,9232.3506,26443.75,58567.085999999996,63665.984000000004,65263.238,68200.102,77374.711,73408.297,67241.938,68385.344,69415.75,75833.125,85048.633,85075.867,110813.33,109028.0,126166.55,99908.945,104689.48,135716.08,14.0,12.0,12.0,0.0,7.0,14.0,25.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,39.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,1.0,1,97491.4575
4538,4539,4539,1,61,1.0,0.0,1.0,0.0,0,0,0,1.0,62.910999,4.0,532.0,15.0,15.0,12.0,12.0,0.0,6007.0522,8724.8867,3598.2839,2259.6477,2040.4437,10493.552,18238.885,18256.221,19195.07,20828.68,19343.678,20020.443,19211.982,18650.549,21579.244,21462.205,16303.252,18318.799,17438.324,14221.044,7815.6274,631.00385,0.0,0.0,0.0,21.0,41.0,20.0,40.0,21.0,52.0,52.0,50.0,50.0,52.0,45.0,51.0,47.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,16570.35475
4575,4576,4576,2,61,1.0,1.0,0.0,1.0,0,0,0,1.0,35.674,10.0,505.0,15.0,15.0,12.0,15.0,836.1043099999999,3003.5261,8468.1943,2398.856,11298.238000000001,10946.586000000001,9444.1963,12122.778,11937.372,12860.697,7372.9839,5275.5483,333.67407000000003,0.0,0.0,0.0,8012.5566,8151.626,0.0,14775.11,11850.868999999999,17864.291,26291.826,25410.068,14541.008999999998,8.0,41.0,44.0,40.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,9.0,0.0,0.0,0.0,14.0,52.0,52.0,52.0,52.0,0.0,52.0,49.0,52.0,0.0,0.0,0.0,1.0,0,8694.401249999999
4580,4581,4580,3,61,1.0,1.0,0.0,1.0,0,0,0,0.0,6.2210002,11.0,362.0,12.0,9.0,13.0,8.0,0.0,180.21156000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110.2192,3336.7407,0.0,0.0,0.0,17169.764,21737.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,23.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5434.4175
4698,4699,4699,2,61,1.0,1.0,0.0,1.0,1,0,0,1.0,60.139998999999996,13.0,521.0,14.0,14.0,14.0,13.0,1672.2086,0.0,39694.66,23988.558999999997,40673.656,65679.516,33579.363,46610.484000000004,63665.984000000004,97894.859,104696.38,79133.227,73741.969,75246.93,82373.258,64888.637,75833.125,221667.17,259311.25,104657.03,112583.26,152962.98,111477.34,33541.293,113419.87,24.0,44.0,39.0,52.0,52.0,49.0,49.0,52.0,38.0,52.0,52.0,52.0,52.0,52.0,40.0,43.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,0,174554.67750000002
4721,4722,4722,1,61,1.0,1.0,0.0,1.0,1,0,0,1.0,44.638000000000005,10.0,463.0,12.0,12.0,12.0,12.0,1003.3251,6007.0522,21699.748,22453.291,16269.463,17295.605,21616.717,26345.057,35812.117,49907.184,25805.443,24619.227000000003,24691.881,25615.977000000003,24867.397999999997,25653.646,32908.715,32606.504,34030.348,36937.773,40292.957,39078.137,36808.559,34557.695,36837.223,43.0,16.0,52.0,52.0,40.0,34.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,0,35966.8955
